未だしも,まだしも,"rather, better"
拘る,こだわる,"to fuss over, to be particular about; to be obsessive about, to be fixated on; to obstruct, to hinder"
,ぶらんぶらん,dangling
形相,ぎょうそう,"look (esp. an angry or upset look), expression"
しがみ付く,しがみつく,to cling
鬱陶しい,うっとうしい,"gloomy (e.g. mood), depressing; irritating, troublesome; heavy (weather), cloudy"
,くちゃくちゃ,"crunching, crumpling, messy"
曖昧,あいまい,"vague, ambiguous, unclear; fuzzy"
慰める,なぐさめる,"to comfort, to console, to amuse"
休憩,きゅうけい,"rest, break, recess, intermission"
当たる,あたる,"to be hit, to strike; to touch, to be in contact, to be affixed; to be equivalent to, to be applicable, to apply to; to be right on the money (of a prediction, criticism, etc.); to be selected (in a lottery, etc.), to win; to be successful, to go well, to be a hit; to face, to confront; to lie (in the direction of); to undertake, to be assigned; to be stricken (by food poisoning, heat, etc.), to be afflicted; to be called on (e.g. by a teacher); to treat (esp. harshly), to lash out at; to be unnecessary; to be hitting well, to be on a hitting streak; to feel a bite (in fishing); (of fruit, etc.) to be bruised, to spoil; to feel (something) out, to probe into, to check (i.e. by comparison); to shave; to be a relative of a person, to be a ... in relation to ..., to stand in a relationship"
落伍者,らくごしゃ,"dropout, straggler, outcast, failure"
飢える,うえる,"to starve, to be famished, to be hungry; to be starved of (e.g. love), to be thirsty for (e.g. knowledge), to be hungry for"
惨め,みじめ,"miserable, wretched, unhappy, sad, pitiable"
凍える,こごえる,"to freeze (of one's body), to be frozen, to become numb (with cold), to be chilled"
,ぐちぐち,"mumbling, muttering; complaining (continuously) about something"
,グダグダ,"exhausted, tired; withered, worn out; boiling until shapeless or mushy; tediously, repetitively, wordily"
取り込み中,とりこみちゅう,"in the middle of something, busy with something; in commotion as a result of something untoward happening; currently importing or capturing data"
,やっさもっさ,"hurly-burly, helter-skelter, hustle and bustle, turmoil"
大都会,だいとかい,"metropolis, big city"
,ひんやり,"cool, chilly, feeling nice and cold"
絶好調,ぜっこうちょう,"in perfect form, going swimmingly"
,きつい,"tough, hard, severe, demanding, harsh; determined, strong-minded, forceful, formidable, fierce; strong (e.g. sunlight, alcohol), severe, intense; (too) tight, constricting, close; extreme, unusually strong"
切ない,せつない,"painful, heartrending, trying; oppressive, suffocating, miserable"
拗らせる,こじらせる,"to aggravate, to complicate, to make worse"
欲張り,よくばり,"greed, avarice, covetousness, greedy person"
弦,つる,"bowstring; string (of shamisen, guitar, violin, etc.); bail (arched pot handle); diagonal levelling wire across the top of a masu"
祝日,しゅくじつ,"national holiday, public holiday"
春節,しゅんせつ,"Lunar New Year, Chinese New Year, Spring Festival"
知恵,ちえ,"wisdom, wit, sagacity, sense, intelligence; prajna (insight leading to enlightenment)"
孤立,こりつ,"isolation, being alone, being friendless"
適当,てきとう,"suitable, proper, appropriate, adequate, fit, fair; perfunctory, half-minded, sloppy, lazy, careless, noncommittal, unreliable, irresponsible"
個,こ,counter for articles; counter for military units; individual
機嫌を取る,きげんをとる,"to curry favour, to butter up, to fawn over, to humour someone (humor), to put in a good mood (e.g. a baby)"
勝つ,かつ,"to win, to gain victory"
ビビる,ビビる,"to feel nervous, to feel afraid, to feel self-conscious, to lose one's nerve, to get cold feet, to get the jitters; to be startled, to be surprised, to be shocked, to feel frightened, to be spooked; to be shy, to be bashful"
うとうと,うとうと,"falling into a doze, dozing off, nodding off"
ぶらぶら,ぶらぶら,"dangling heavily, swaying to and fro, swinging; strolling, rambling, roaming, wandering; idly, lazily, leisurely, aimlessly; persisting (of an illness)"
で御座る,でござる,"be, is"
治る,なおる,"to be cured, to get well, to be healed; to get mended, to be repaired, to be fixed"
で候,でそう,to be
深々,ふかぶか,very deeply
甘やかす,あまやかす,"to pamper, to spoil"
履き違える,はきちがえる,"to put on (another's shoes by mistake), to put (shoes) on the wrong feet; to mistake (one thing for another), to confuse, to have a mistaken idea of, to misunderstand"
突っ込み,つっこみ,"penetration, digging into something; (in comedy) straight man, retort, quip; sex, intercourse"
惚け,ぼけ,"idiot, fool, touched in the head (from), out of it (from), space case; funny man (of a comedy duo), (in comedy) silly or stupid line; Alzheimer's (impol)"
か弱い,かよわい,"frail, feeble"
散らかる,ちらかる,"to be in disorder, to lie scattered around"
警備,けいび,"defense, defence, guard, policing, security"
含意,がんい,"implication, connotation; (logical) implication, material conditional, material consequence"
序列,じょれつ,"rank, ranking order, hierarchy"
叱る,しかる,"to scold, to chide, to rebuke, to reprimand"
浅い,あさい,"shallow, superficial; slight (wound), light (sleep), pale (colour), inadequate (knowledge); short (time), early, young"
たらたら,たらたら,"drop-by-drop, dripping, dribbling, in a trickle; incessantly (esp. speaking, e.g. complaints, compliments), in great profusion"
語彙力,ごいりょく,(the extent of) one's vocabulary
韻,イン,"rhyme, elegance, tone"
跳ね除ける,はねのける,"to push aside, to brush or thrust aside, to remove, to get rid of"
雅致,がち,"artistry, good taste, elegance, grace"
然程,さほど,"(not) so, (not) particularly, (not) very, (not) that much"
サーロインステーキ,サーロインステーキ,sirloin steak
ちょっくら,ちょっくら,"a little, for a moment, a short while, just a minute"
真っ赤,まっか,"bright red, deep red, flushed (of face); downright (e.g. lie), complete, utter"
他殺,たさつ,murder
射殺,しゃさつ,shooting to death
潔癖,けっぺき,"fastidiousness, love of cleanliness"
夜行性,やこうせい,"nocturnality, nocturnal habits"
好く,すく,"to like, to love, to be fond of"
直球,ちょっきゅう,"straight ball (pitch); direct (e.g. question), blunt"
礼儀,れいぎ,"manners, courtesy, etiquette"
建て前,たてまえ,"face, official stance, public position or attitude (as opposed to private thoughts); ceremony for the erection of the framework of a house; tea ceremony procedures, tea ceremony etiquette"
遡る,さかのぼる,"to go upstream; to go back (in time, to origin), to date back to, to trace back to, to make retroactive"
一つ,ひとつ,"one; for one thing; only; (not) even; just (e.g. ""just try it"")"
多様性,たようせい,"diversity, variety"
呼び捨て,よびすて,"addressing (someone) without using a suffix such as ""-san"" or ""-chan"" (considered impolite)"
可愛がる,かわいがる,"to love, to cherish, to be affectionate to, to treat tenderly, to dote on; to show favouritism to, to be partial to; to fondle, to caress, to pet; to be tough on, to be rough with, to torment, to train harshly"
既定,きてい,"established, fixed, prearranged, predetermined"
少子化,しょうしか,"declining birth rates, decrease in the number of children"
比率,ひりつ,"ratio, proportion, percentage"
抗議,こうぎ,"protest, objection"
競争,きょうそう,"competition, contest, rivalry, race; competition (between organisms or species)"
争う,あらそう,"to compete, to contest, to contend; to quarrel, to argue, to dispute, to be at variance, to oppose; to deny (e.g. evidence)"
,ぽかぽか,"pleasantly warm, nice and warm; repeatedly (hitting someone), again and again, over and over"
分野,ぶんや,"field, sphere, realm, division, branch"
嫌らしい,いやらしい,"unpleasant, disagreeable, nasty; lewd, lascivious, obscene, filthy, dirty"
流す,ながす,"to drain, to pour, to spill, to shed (blood, tears); to wash away; to distribute (e.g. electricity over wires, music over a PA system, etc.), to circulate, to broadcast, to beam; to cruise (e.g. taxi); to float, to set adrift; to call off (a meeting, etc.); to exile, to banish"
,ベートーヴェン,Beethoven
,ホルモン,hormone; cows' or pigs' offal (entrails)
好奇心,こうきしん,"curiosity, inquisitiveness"
入れる,いれる,"to put in, to let in, to take in, to bring in, to insert, to install (e.g. software), to set (a jewel, etc.), to ink in (e.g. tattoo); to admit, to accept, to employ, to hire; to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to; to include; to pay (one's rent, etc.); to cast (a vote); to make (tea, coffee, etc.); to turn on (a switch, etc.); to send (a fax), to call"
自発的,じはつてき,"spontaneous, voluntary"
無意識,むいしき,"unconsciousness; unconscious, involuntary, automatic, mechanical, unintentional, spontaneous; the unconscious (psychoanalysis)"
手当たり次第,てあたりしだい,"using anything one can lay one's hands on, haphazardly, on the rebound, at random, indiscriminately"
嵌まる,はまる,"to fit, to get into, to go into, to be fitted with (e.g. door with a window); to be fit for (a job, etc.), to be suited for, to satisfy (conditions); to fall into, to plunge into, to get stuck, to get caught; to be deceived, to be taken in, to fall into a trap; to be addicted to, to be deep into, to be crazy about, to be stuck on"
迎えに行く,むかえにいく,to go to meet somebody
相当,そうとう,"corresponding to (in meaning, function, etc.), being equivalent to; appropriate, suitable, befitting, proportionate; to be proportionate to, to be in keeping with, to be deserving of, to be worthy of; considerable, substantial; considerably, rather, quite, fairly, pretty"
睫毛,まつげ,eyelashes
癖毛,くせげ,"kinky hair, frizzy hair, unruly hair, curly hair"
揺りかご,ゆりかご,cradle
膝枕,ひざまくら,laying one's head in someone's lap
,ふんわり,"gently, airily, fluffily"
打倒,だとう,"knockdown (e.g. in boxing), overthrow, defeat"
無我夢中,むがむちゅう,"being absorbed in, losing oneself in"
当てられる,あてられる,"to be affected by (e.g. heat), to suffer from; to be embarrassed, to be annoyed"
木霊,こだま,"echo, reverberation; spirit of a tree, tree spirit"
鱧,はも,"daggertooth pike conger (Muraenesox cinereus); (in Northern Japan) conger eel, garden eel"
生理痛,せいりつう,"menstrual pain, period pain"
鎮痛剤,ちんつうざい,"analgesic, painkiller, sedative, tranquilizer, tranquiliser"
欲しい,ほしい,"wanted, wished for, in need of, desired; I want (you) to"
天上天下,てんじょうてんげ,"the whole world, throughout heaven and earth"
応える,こたえる,"to respond, to answer, to meet (e.g. demands, expectations); to affect, to take a toll, to strike home, to have an effect on, to be hard on someone (e.g. heat, cold, work, illness, etc.), to be a strain"
上げる,あげる,"to raise, to elevate; to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); to summon (for geishas, etc.); to send someone (away); to enrol (one's child in school), to enroll; to increase (price, quality, status, etc.), to develop (talent, skill), to improve; to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to give; to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; to do for (the sake of someone else); to complete ...; to humbly do ..."
贈る,おくる,"to give (as a gift), to present; to confer, to bestow, to award"
与える,あたえる,"to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award; to provide, to afford, to offer, to supply; to assign; to cause; to pass (a variable to a function)"
ピンと来る,ピンとくる,"to get (a joke or explanation), to strike home, to click, to know intuitively"
摘む,つまむ,"to pinch, to hold (between one's fingers), to pick up (with chopsticks, tweezers, etc.); to pick up and eat, to snack on; to pick out (the main point), to summarize, to sum up; to bewitch, to possess, to fascinate"
興業,こうぎょう,industrial enterprise
茂る,しげる,"to grow thickly, to be in full leaf, to be rampant, to luxuriate, to be luxurious"
一家団欒,いっかだんらん,happy family get-together
肥料,ひりょう,"manure, fertilizer, fertiliser"
傍,ボウ,"bystander, side, besides, while, nearby, third person"
備える,そなえる,"to furnish with, to equip with, to provide, to install; to prepare for, to make preparations for, to make provision for; to possess (all that is needed), to be endowed with, to be equipped with; to be born with, to have since birth"
情弱,じょうじゃく,"person with limited access to information (via the Internet, television, etc.); person who is inept at using the Internet to access information, Internet illiterate"
捕まえる,つかまえる,"to catch, to arrest, to seize"
挙句,あげく,"in the end (after a long process), finally, after all, at last; last line (of a renga)"
