未だしも,まだしも,"rather, better"
懲役,ちょうえき,"penal servitude, imprisonment with hard labor (hard labour)"
剥奪,はくだつ,"stripping (of rights, office, etc.), deprivation, divestiture, forfeit, revocation"
科する,かする,"to inflict, to impose (a fine, etc.)"
補給,ほきゅう,"supply, supplying, replenishment"
保つ,たもつ,"to keep, to preserve, to hold, to retain, to maintain, to sustain; to last, to endure, to keep well (food), to wear well, to be durable"
齎す,もたらす,"to bring, to take, to bring about"
思い出,おもいで,"memories, recollections, reminiscence"
堪らない,たまらない,"intolerable, unbearable, unendurable; irresistible, tremendous, out of this world; cannot help (doing), cannot but do, anxious to do"
匿名,とくめい,"anonymity, using an assumed name"
契る,ちぎる,"to pledge, to vow, to promise, to swear; to have sexual intercourse (esp. between husband and wife), to share a bed"
屋外,おくがい,"outdoors, alfresco"
追手,おいて,"pursuer, pursuing party, posse"
牢屋,ろうや,"jail, gaol, jailhouse"
見抜く,みぬく,"to see through, to see into (someone's heart, mind, etc.), to perceive, to find out, to detect"
無念,むねん,"regret, chagrin, mortification; freedom from obstructive thoughts"
弾丸,だんがん,"bullet, shot, shell"
玉,たま,"ball, sphere, globe, orb; bead (of sweat, dew, etc.), drop, droplet; ball (in sports); pile (of noodles, etc.); bullet; bulb (i.e. a light bulb); lens (of glasses, etc.); bead (of an abacus); ball (i.e. a testicle); gem, jewel (esp. spherical; sometimes used figuratively), pearl; female entertainer (e.g. a geisha); person (when commenting on their nature), character; item, funds or person used as part of a plot; egg; coin; precious, beautiful, excellent"
引けを取る,ひけをとる,"to be outdone by, to compare unfavorably with"
避ける,さける,"to avoid (physical contact with); to avoid (situation); to ward off, to avert"
見す見す,みすみす,"before one's own eyes, from under one's very nose, without doing anything, without resistance, helplessly, negligently, knowingly"
晒す,さらす,"to expose (to the sun, public, danger, etc.); to bleach, to refine; to rinse (vegetables), to soak; to doxx, to dox, to make someone's private information public without permission (esp. online); to sentence someone to public humiliation"
,ガシガシ,"boisterously, roughly, briskly"
継承,けいしょう,"inheritance, succession, accession; share-alike"
砦,サイ,"fort, stronghold, entrenchments"
安泰,あんたい,"peace, security, tranquility, tranquillity"
一等地,いっとうち,best (residential) district (in town)
過酷,かこく,"severe, harsh, hard, cruel, rigorous"
手を組む,てをくむ,"to join hands together; to join forces, to collaborate"
憎悪,ぞうお,"hatred, abhorrence, loathing, detestation"
思うに,おもうに,"presumably, conceivably, in my opinion, in my view, I think (that), upon thought, upon reflection"
